id,dt,productid,optionid,defaultchoiceid,created,updated
2484,2001-03-07 11:13:02-08,10,10,30,2001-03-07 11:13:02-08,2001-03-07 11:13:02-08
2485,2001-03-07 11:13:02-08,10,9,26,2001-03-07 11:13:02-08,2001-03-07 11:13:02-08
2551,2001-03-07 11:21:58-08,1237,6,30,2001-03-07 11:21:58-08,2001-03-07 11:21:58-08
2365,2001-03-07 10:00:10-08,1236,4,19663,2001-03-07 10:00:10-08,2001-03-07 10:00:10-08
2555,2001-03-07 11:21:58-08,1237,3,9,2001-03-07 11:21:58-08,2001-03-07 11:21:58-08
2557,2001-03-07 11:21:58-08,1237,10,30,2001-03-07 11:21:58-08,2001-03-07 11:21:58-08
2623,2001-03-07 11:27:45-08,1234,6,30,2001-03-07 11:27:45-08,2001-03-07 11:27:45-08
12,2001-01-11 14:25:29-08,2,4,19663,2001-01-11 14:25:29-08,2001-01-11 14:25:29-08
2629,2001-03-07 11:27:45-08,1234,10,30,2001-03-07 11:27:45-08,2001-03-07 11:27:45-08
2694,2001-03-07 11:29:41-08,1235,6,30,2001-03-07 11:29:41-08,2001-03-07 11:29:41-08
2700,2001-03-07 11:29:41-08,1235,10,30,2001-03-07 11:29:41-08,2001-03-07 11:29:41-08
2697,2001-03-07 11:29:41-08,1235,5,18,2001-03-07 11:29:41-08,2001-03-07 11:29:41-08
2698,2001-03-07 11:29:41-08,1235,3,9,2001-03-07 11:29:41-08,2001-03-07 11:29:41-08
2774,2001-03-07 11:58:23-08,4,10,30,2001-03-07 11:58:23-08,2001-03-07 11:58:23-08
2776,2001-03-07 11:58:23-08,4,3,9,2001-03-07 11:58:23-08,2001-03-07 11:58:23-08
2780,2001-03-07 11:58:23-08,4,6,30,2001-03-07 11:58:23-08,2001-03-07 11:58:23-08
2777,2001-03-07 11:58:23-08,4,5,18,2001-03-07 11:58:23-08,2001-03-07 11:58:23-08
2844,2001-03-07 12:30:57-08,12,3,9,2001-03-07 12:30:57-08,2001-03-07 12:30:57-08
33527,2006-01-24 20:00:17-08,33526,7,35523,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
2849,2001-03-07 12:30:57-08,12,10,30,2001-03-07 12:30:57-08,2001-03-07 12:30:57-08
2922,2001-03-07 12:48:41-08,5,6,30,2001-03-07 12:48:41-08,2001-03-07 12:48:41-08
3221,2001-03-07 15:54:29-08,8,4,19663,2001-03-07 15:54:29-08,2001-03-07 15:54:29-08
2926,2001-03-07 12:48:41-08,5,10,30,2001-03-07 12:48:41-08,2001-03-07 12:48:41-08
2927,2001-03-07 12:48:41-08,5,9,26,2001-03-07 12:48:41-08,2001-03-07 12:48:41-08
2993,2001-03-07 13:03:23-08,1231,6,30,2001-03-07 13:03:23-08,2001-03-07 13:03:23-08
3216,2001-03-07 15:54:29-08,8,5,5293,2001-03-07 15:54:29-08,2001-03-07 15:54:29-08
2997,2001-03-07 13:03:23-08,1231,10,30,2001-03-07 13:03:23-08,2001-03-07 13:03:23-08
2998,2001-03-07 13:03:23-08,1231,9,26,2001-03-07 13:03:23-08,2001-03-07 13:03:23-08
12361,2002-01-27 20:44:45-08,12355,4,19663,2002-01-27 20:44:45-08,2002-01-27 20:44:45-08
12491,2002-02-17 15:16:57-08,12482,4,19663,2002-02-17 15:16:57-08,2002-02-17 15:16:57-08
3064,2001-03-07 13:41:42-08,3,10,30,2001-03-07 13:41:42-08,2001-03-07 13:41:42-08
3066,2001-03-07 13:41:42-08,3,8,30,2001-03-07 13:41:42-08,2001-03-07 13:41:42-08
2624,2001-03-07 11:27:45-08,1234,4,19663,2001-03-07 11:27:45-08,2001-03-07 11:27:45-08
3071,2001-03-07 13:41:42-08,3,9,26,2001-03-07 13:41:42-08,2001-03-07 13:41:42-08
3146,2001-03-07 15:47:18-08,1229,6,30,2001-03-07 15:47:18-08,2001-03-07 15:47:18-08
12396,2002-02-10 21:19:07-08,12390,4,19663,2002-02-10 21:19:07-08,2002-02-10 21:19:07-08
3150,2001-03-07 15:47:18-08,1229,10,30,2001-03-07 15:47:18-08,2001-03-07 15:47:18-08
3151,2001-03-07 15:47:18-08,1229,9,26,2001-03-07 15:47:18-08,2001-03-07 15:47:18-08
6,2001-01-30 16:21:52-08,1,6,6587,2001-01-30 16:21:52-08,2001-01-30 16:21:52-08
3217,2001-03-07 15:54:29-08,8,9,26,2001-03-07 15:54:29-08,2001-03-07 15:54:29-08
3218,2001-03-07 15:54:29-08,8,10,30,2001-03-07 15:54:29-08,2001-03-07 15:54:29-08
3220,2001-03-07 15:54:29-08,8,3,9,2001-03-07 15:54:29-08,2001-03-07 15:54:29-08
33544,2006-01-24 20:00:17-08,33526,28982,28984,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
3222,2001-03-07 15:54:29-08,8,6,30,2001-03-07 15:54:29-08,2001-03-07 15:54:29-08
3288,2001-03-07 15:56:04-08,9,9,26,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
3289,2001-03-07 15:56:04-08,9,10,30,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
33543,2006-01-24 20:00:17-08,33526,28983,28986,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
3293,2001-03-07 15:56:04-08,9,6,30,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
3360,2001-03-07 15:56:04-08,1230,10,30,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
3362,2001-03-07 15:56:04-08,1230,3,9,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
13683,2002-04-12 17:14:23-07,13674,4,19663,2002-04-12 17:14:23-07,2002-04-12 17:14:23-07
3364,2001-03-07 15:56:04-08,1230,6,30,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
2367,2001-03-07 10:00:10-08,1236,5,5292,2001-03-07 10:00:10-08,2001-03-07 10:00:10-08
3430,2001-03-07 16:04:52-08,1232,9,26,2001-03-07 16:04:52-08,2001-03-07 16:04:52-08
3431,2001-03-07 16:04:52-08,1232,10,30,2001-03-07 16:04:52-08,2001-03-07 16:04:52-08
3433,2001-03-07 16:04:52-08,1232,3,9,2001-03-07 16:04:52-08,2001-03-07 16:04:52-08
13916,2002-05-15 16:56:35-07,13914,4,19663,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
3435,2001-03-07 16:04:52-08,1232,6,30,2001-03-07 16:04:52-08,2001-03-07 16:04:52-08
33530,2006-01-24 20:00:17-08,33526,6520,33557,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
3501,2001-03-07 16:49:55-08,1233,9,26,2001-03-07 16:49:55-08,2001-03-07 16:49:55-08
3502,2001-03-07 16:49:55-08,1233,10,30,2001-03-07 16:49:55-08,2001-03-07 16:49:55-08
3504,2001-03-07 16:49:55-08,1233,3,9,2001-03-07 16:49:55-08,2001-03-07 16:49:55-08
14828,2002-07-11 23:42:17-07,14822,4,19663,2002-07-11 23:42:17-07,2002-07-11 23:42:17-07
3506,2001-03-07 16:49:55-08,1233,6,30,2001-03-07 16:49:55-08,2001-03-07 16:49:55-08
2481,2001-03-07 11:13:02-08,10,5,1027,2001-03-07 11:13:02-08,2001-03-07 11:13:02-08
3062,2001-03-07 13:41:42-08,3,6,6587,2001-03-07 13:41:42-08,2001-03-07 13:41:42-08
2363,2001-03-07 10:00:10-08,1236,2,32407,2001-03-07 10:00:10-08,2001-03-07 10:00:10-08
3581,2001-03-07 18:37:57-08,6,6,30,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
18214,2003-03-13 11:21:46-08,18200,4,19663,2003-03-13 11:21:46-08,2003-03-13 11:21:46-08
3584,2001-03-07 18:37:57-08,6,10,30,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
3589,2001-03-07 18:37:57-08,6,3,9,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
3657,2001-03-07 18:37:57-08,7,3,9,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
33538,2010-03-25 15:24:08.357097-07,33526,32416,32411,2010-03-25 15:24:08.357097-07,2010-03-25 15:24:08.357097-07
3662,2001-03-07 18:37:57-08,7,10,30,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
18582,2003-03-14 11:25:21-08,18573,4,19663,2003-03-14 11:25:21-08,2003-03-14 11:25:21-08
3665,2001-03-07 18:37:57-08,7,6,30,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
19030,2003-03-26 11:26:04-08,19019,4,19663,2003-03-26 11:26:04-08,2003-03-26 11:26:04-08
2851,2001-03-07 12:30:57-08,12,4,15,2001-03-07 12:30:57-08,2001-03-07 12:30:57-08
4094,2001-04-17 11:16:45-07,4088,11,30,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4096,2001-04-17 11:16:45-07,4088,10,30,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4099,2001-04-17 11:16:45-07,4088,6,30,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4090,2001-04-17 11:16:45-07,4088,7,23,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4093,2001-04-17 11:16:45-07,4088,5,17,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4095,2001-04-17 11:16:45-07,4088,9,27,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4182,2001-04-17 12:43:49-07,4089,4086,4082,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
4185,2001-04-17 12:43:49-07,4089,5,17,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
4188,2001-04-17 12:43:49-07,4089,7,23,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
4189,2001-04-17 12:43:49-07,4089,6,30,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
4190,2001-04-17 12:43:49-07,4089,10,30,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
4191,2001-04-17 12:43:49-07,4089,11,30,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
4184,2001-04-17 12:43:49-07,4089,9,4164,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
44049,2010-01-17 10:22:13.331639-08,44040,6520,44172,2010-01-17 10:22:13.331639-08,2010-01-17 10:22:13.331639-08
4092,2001-04-17 11:16:45-07,4088,2,30,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4097,2001-04-17 11:16:45-07,4088,3,30,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
4181,2001-04-17 12:43:49-07,4089,3,30,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
4098,2001-04-17 11:16:45-07,4088,4,30,2001-04-17 11:16:45-07,2001-04-17 11:16:45-07
3069,2001-03-07 13:41:42-08,3,3,30,2001-03-07 13:41:42-08,2001-03-07 13:41:42-08
3291,2001-03-07 15:56:04-08,9,3,30,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
2627,2001-03-07 11:27:45-08,1234,3,30,2001-03-07 11:27:45-08,2001-03-07 11:27:45-08
2995,2001-03-07 13:03:23-08,1231,3,30,2001-03-07 13:03:23-08,2001-03-07 13:03:23-08
2924,2001-03-07 12:48:41-08,5,3,30,2001-03-07 12:48:41-08,2001-03-07 12:48:41-08
3,2001-01-11 14:25:23-08,1,3,30,2001-01-11 14:25:23-08,2001-01-11 14:25:23-08
3148,2001-03-07 15:47:18-08,1229,3,30,2001-03-07 15:47:18-08,2001-03-07 15:47:18-08
44046,2010-01-17 10:22:13.331639-08,44040,41285,41287,2010-01-17 10:22:13.331639-08,2010-01-17 10:22:13.331639-08
11126,2001-01-01 00:00:00-08,11094,4,19663,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
3144,2001-03-07 15:47:18-08,1229,5,7449,2001-03-07 15:47:18-08,2001-03-07 15:47:18-08
3061,2001-03-07 13:41:42-08,3,5,7449,2001-03-07 13:41:42-08,2001-03-07 13:41:42-08
44307,2010-01-29 12:46:36.929272-08,44305,6564,41332,2010-01-29 12:46:36.929272-08,2010-01-29 12:46:36.929272-08
4187,2011-07-06 16:14:03.934471-07,4089,1,30,2011-07-06 16:14:03.934471-07,2011-07-06 16:14:03.934471-07
4091,2011-07-06 16:14:03.890128-07,4088,1,30,2011-07-06 16:14:03.890128-07,2011-07-06 16:14:03.890128-07
2843,2001-03-07 12:30:57-08,12,2763,30,2001-03-07 12:30:57-08,2001-03-07 12:30:57-08
14,2001-01-11 14:25:44-08,2,6,22,2001-01-11 14:25:44-08,2001-01-11 14:25:44-08
2846,2001-03-07 12:30:57-08,12,9,29,2001-03-07 12:30:57-08,2001-03-07 12:30:57-08
4577,2001-05-21 15:42:42-07,4571,3,9,2001-05-21 15:42:42-07,2001-05-21 15:42:42-07
4579,2001-05-21 15:42:42-07,4571,10,30,2001-05-21 15:42:42-07,2001-05-21 15:42:42-07
4582,2001-05-21 15:42:42-07,4571,11,30,2001-05-21 15:42:42-07,2001-05-21 15:42:42-07
4731,2001-05-22 15:15:54-07,4727,4688,30,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4732,2001-05-22 15:15:54-07,4727,4687,4675,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4733,2001-05-22 15:15:54-07,4727,4686,4675,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4736,2001-05-22 15:15:54-07,4727,8,25,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4737,2001-05-22 15:15:54-07,4727,1,4031,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4739,2001-05-22 15:15:54-07,4727,11,30,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4740,2001-05-22 15:15:54-07,4727,10,30,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4741,2001-05-22 15:15:54-07,4727,3,9,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
16231,2002-10-03 11:42:02-07,16227,2,32407,2002-10-03 11:42:02-07,2002-10-03 11:42:02-07
4576,2001-05-21 15:42:42-07,4571,1,1203,2001-05-21 15:42:42-07,2001-05-21 15:42:42-07
4735,2001-05-22 15:15:54-07,4727,9,4164,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4734,2001-05-22 15:15:54-07,4727,4666,4667,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4729,2001-05-22 15:15:54-07,4727,4664,4872,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4730,2001-05-22 15:15:54-07,4727,7,23,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4580,2001-05-21 15:42:42-07,4571,7,23,2001-05-21 15:42:42-07,2001-05-21 15:42:42-07
4575,2001-05-21 15:42:42-07,4571,9,29,2001-05-21 15:42:42-07,2001-05-21 15:42:42-07
4578,2001-05-21 15:42:42-07,4571,5,4877,2001-05-21 15:42:42-07,2001-05-21 15:42:42-07
4738,2001-05-22 15:15:54-07,4727,5,4877,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4728,2001-05-22 15:15:54-07,4727,4665,4872,2001-05-22 15:15:54-07,2001-05-22 15:15:54-07
4894,2001-05-23 16:53:14-07,4893,4665,4872,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4895,2001-05-23 16:53:14-07,4893,5,4877,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4896,2001-05-23 16:53:14-07,4893,7,23,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4897,2001-05-23 16:53:14-07,4893,4664,4872,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4898,2001-05-23 16:53:14-07,4893,4666,4667,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4900,2001-05-23 16:53:14-07,4893,3,9,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4901,2001-05-23 16:53:14-07,4893,10,30,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4902,2001-05-23 16:53:14-07,4893,11,30,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4903,2001-05-23 16:53:14-07,4893,1,4031,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4904,2001-05-23 16:53:14-07,4893,8,25,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4905,2001-05-23 16:53:14-07,4893,4686,4675,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4906,2001-05-23 16:53:14-07,4893,4687,4675,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
4995,2001-05-23 18:43:41-07,4994,4665,4872,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
4996,2001-05-23 18:43:41-07,4994,5,4877,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
4997,2001-05-23 18:43:41-07,4994,7,23,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
4998,2001-05-23 18:43:41-07,4994,4664,4872,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
4999,2001-05-23 18:43:41-07,4994,4666,4667,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5001,2001-05-23 18:43:41-07,4994,3,9,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5002,2001-05-23 18:43:41-07,4994,10,30,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5003,2001-05-23 18:43:41-07,4994,11,30,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5004,2001-05-23 18:43:41-07,4994,1,4031,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5005,2001-05-23 18:43:41-07,4994,8,25,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5006,2001-05-23 18:43:41-07,4994,4686,4675,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5007,2001-05-23 18:43:41-07,4994,4687,4675,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
5000,2001-05-23 18:43:41-07,4994,9,4892,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
4899,2001-05-23 16:53:14-07,4893,9,4890,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
41528,2009-02-13 11:51:40.680111-08,41524,6564,41332,2009-02-13 11:51:40.680111-08,2009-02-13 11:51:40.680111-08
44047,2010-01-17 10:22:13.331639-08,44040,32416,32414,2010-01-17 10:22:13.331639-08,2010-01-17 10:22:13.331639-08
4907,2001-05-23 16:53:14-07,4893,4688,4675,2001-05-23 16:53:14-07,2001-05-23 16:53:14-07
5008,2001-05-23 18:43:41-07,4994,4688,4675,2001-05-23 18:43:41-07,2001-05-23 18:43:41-07
2558,2001-03-07 11:21:58-08,1237,9,29,2001-03-07 11:21:58-08,2001-03-07 11:21:58-08
3587,2001-03-07 18:37:57-08,6,9,29,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
3659,2001-03-07 18:37:57-08,7,9,29,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
5186,2001-06-10 12:46:01-07,5182,4664,4872,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5187,2001-06-10 12:46:01-07,5182,4666,4667,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5189,2001-06-10 12:46:01-07,5182,3,9,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5190,2001-06-10 12:46:01-07,5182,10,30,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5191,2001-06-10 12:46:01-07,5182,11,30,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5193,2001-06-10 12:46:01-07,5182,8,30,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5188,2001-06-10 12:46:01-07,5182,9,5283,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5184,2001-06-10 12:46:01-07,5182,5,5292,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5192,2001-06-10 12:46:01-07,5182,1,5286,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
4183,2001-04-17 12:43:49-07,4089,4,19663,2001-04-17 12:43:49-07,2001-04-17 12:43:49-07
5314,2001-06-24 14:31:08-07,5311,5097,30,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5315,2001-06-24 14:31:08-07,5311,9,4890,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5318,2001-06-24 14:31:08-07,5311,8,25,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5319,2001-06-24 14:31:08-07,5311,1,4031,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5320,2001-06-24 14:31:08-07,5311,11,30,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5321,2001-06-24 14:31:08-07,5311,10,30,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5322,2001-06-24 14:31:08-07,5311,3,9,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5323,2001-06-24 14:31:08-07,5311,4666,4667,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5324,2001-06-24 14:31:08-07,5311,4664,4872,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5326,2001-06-24 14:31:08-07,5311,5,4877,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5327,2001-06-24 14:31:08-07,5311,4665,4872,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5312,2001-06-24 14:31:08-07,5311,4688,4679,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5316,2001-06-24 14:31:08-07,5311,4687,4679,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5317,2001-06-24 14:31:08-07,5311,4686,4679,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5325,2001-06-24 14:31:08-07,5311,7,4468,2001-06-24 14:31:08-07,2001-06-24 14:31:08-07
5431,2001-07-01 13:37:29-07,5430,7,4468,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5432,2001-07-01 13:37:29-07,5430,4686,4679,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5433,2001-07-01 13:37:29-07,5430,4687,4679,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5434,2001-07-01 13:37:29-07,5430,4688,4679,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5439,2001-07-01 13:37:29-07,5430,3,9,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5440,2001-07-01 13:37:29-07,5430,10,30,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5441,2001-07-01 13:37:29-07,5430,11,30,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5444,2001-07-01 13:37:29-07,5430,9,29,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5436,2001-07-01 13:37:29-07,5430,5,16,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5437,2001-07-01 13:37:29-07,5430,4664,4667,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5442,2001-07-01 13:37:29-07,5430,1,4081,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5443,2001-07-01 13:37:29-07,5430,8,30,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5446,2001-07-01 13:37:29-07,5430,4,30,2001-07-01 13:37:29-07,2001-07-01 13:37:29-07
5566,2001-07-01 15:02:19-07,5565,4,30,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5567,2001-07-01 15:02:19-07,5565,8,30,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5568,2001-07-01 15:02:19-07,5565,1,4081,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5569,2001-07-01 15:02:19-07,5565,4664,4667,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5571,2001-07-01 15:02:19-07,5565,5,16,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5574,2001-07-01 15:02:19-07,5565,11,30,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5575,2001-07-01 15:02:19-07,5565,10,30,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5577,2001-07-01 15:02:19-07,5565,4688,4679,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5578,2001-07-01 15:02:19-07,5565,4687,4679,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5579,2001-07-01 15:02:19-07,5565,4686,4679,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5580,2001-07-01 15:02:19-07,5565,7,4468,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5572,2001-07-01 15:02:19-07,5565,9,5564,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
5576,2001-07-01 15:02:19-07,5565,3,5676,2001-07-01 15:02:19-07,2001-07-01 15:02:19-07
23206,2010-03-25 18:10:29.899335-07,22724,6836,30,2010-03-25 18:10:29.899335-07,2010-03-25 18:10:29.899335-07
5679,2001-07-03 19:44:05-07,5677,3,5676,2001-07-03 19:44:05-07,2001-07-03 19:44:05-07
5680,2001-07-03 19:44:05-07,5677,9,5564,2001-07-03 19:44:05-07,2001-07-03 19:44:05-07
5682,2001-07-03 19:44:05-07,5677,4686,4682,2001-07-03 19:44:05-07,2001-07-03 19:44:05-07
5683,2001-07-03 19:44:05-07,5677,4687,4682,2001-07-03 19:44:05-07,2001-07-03 19:44:05-07
5684,2001-07-03 19:44:05-07,5677,4688,4682,2001-07-03 19:44:05-07,2001-07-03 19:44:05-07
