id,dt,pricedelta,productoptionid,choiceid,current,created,updated
31653,2005-12-24 08:31:47-08,0,31650,18049,,2005-12-24 08:31:47-08,2005-12-24 08:31:47-08
31651,2005-12-24 08:31:41-08,250,31650,18052,,2005-12-24 08:31:41-08,2005-12-24 08:31:41-08
31652,2005-12-24 08:31:42-08,150,31650,18051,,2005-12-24 08:31:42-08,2005-12-24 08:31:42-08
31657,2006-01-06 09:18:44-08,0,25156,4683,,2006-01-06 09:18:44-08,2006-01-06 09:18:44-08
31658,2006-01-06 09:19:14-08,0,25163,4683,,2006-01-06 09:19:14-08,2006-01-06 09:19:14-08
5250,2001-06-10 12:46:01-07,65,5194,4684,,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5251,2001-06-10 12:46:01-07,-55,5194,4681,,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5252,2001-06-10 12:46:01-07,75,5194,4680,,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5260,2001-06-10 12:46:01-07,65,5195,4684,,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
5265,2001-06-10 12:46:01-07,75,5195,4680,,2001-06-10 12:46:01-07,2001-06-10 12:46:01-07
31659,2006-01-06 09:23:39-08,0,5195,4681,,2006-01-06 09:23:39-08,2006-01-06 09:23:39-08
11423,2001-12-13 12:29:26-08,0,11171,4681,,2001-12-13 12:29:26-08,2001-12-13 12:29:26-08
11419,2001-12-13 12:26:21-08,0,11172,4681,,2001-12-13 12:26:21-08,2001-12-13 12:26:21-08
36917,2006-01-24 20:00:17-08,0,36225,36914,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
39076,2008-07-18 11:51:16.076196-07,0,37340,39072,,2008-07-18 11:51:16.076196-07,2008-07-18 11:51:16.076196-07
39077,2008-07-18 11:51:27.953298-07,0,37340,39073,,2008-07-18 11:51:27.953298-07,2008-07-18 11:51:27.953298-07
39078,2008-07-18 11:51:59.775954-07,0,35399,39070,,2008-07-18 11:51:59.775954-07,2008-07-18 11:51:59.775954-07
14038,2002-05-15 16:56:35-07,,13917,7,,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
36879,2008-01-18 10:41:59-08,0,36878,33700,,2008-01-18 10:41:59-08,2008-01-18 10:41:59-08
36880,2008-01-18 10:42:02-08,0,36878,24403,,2008-01-18 10:42:02-08,2008-01-18 10:42:02-08
35644,2006-01-24 20:00:17-08,0,23463,32940,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
36881,2008-01-18 10:42:03-08,0,36878,33903,,2008-01-18 10:42:03-08,2008-01-18 10:42:03-08
39079,2008-07-18 11:52:11.229586-07,0,35399,39071,,2008-07-18 11:52:11.229586-07,2008-07-18 11:52:11.229586-07
35513,2007-08-28 14:25:07-07,0,35509,28986,,2007-08-28 14:25:07-07,2007-08-28 14:25:07-07
34043,2007-02-20 08:02:38-08,0,33517,39132,,2007-02-20 08:02:38-08,2007-02-20 08:02:38-08
34044,2007-02-20 08:02:45-08,0,33517,12332,,2007-02-20 08:02:45-08,2007-02-20 08:02:45-08
39080,2008-07-18 11:52:21.598396-07,0,35399,39072,,2008-07-18 11:52:21.598396-07,2008-07-18 11:52:21.598396-07
39081,2008-07-18 11:52:35.132209-07,0,35399,39073,,2008-07-18 11:52:35.132209-07,2008-07-18 11:52:35.132209-07
34821,2006-01-24 20:00:17-08,0,18979,34820,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
35645,2006-01-24 20:00:17-08,0,23463,35523,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
34822,2006-01-24 20:00:17-08,0,18979,34818,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
33789,2007-01-16 13:26:39-08,0,33773,8261,,2007-01-16 13:26:39-08,2007-01-16 13:26:39-08
29567,2005-01-28 11:45:48-08,0,9294,31661,,2005-01-28 11:45:48-08,2005-01-28 11:45:48-08
37284,2006-01-24 20:00:17-08,0,23462,35409,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
33790,2007-01-16 13:26:40-08,0,33773,9190,,2007-01-16 13:26:40-08,2007-01-16 13:26:40-08
33791,2007-01-16 13:26:43-08,0,33773,14513,,2007-01-16 13:26:43-08,2007-01-16 13:26:43-08
37283,2006-01-24 20:00:17-08,0,23462,35404,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
23520,2003-07-10 02:43:49-07,0,23462,35403,,2003-07-10 02:43:49-07,2003-07-10 02:43:49-07
35796,2007-09-20 13:32:47-07,5,35793,28987,,2007-09-20 13:32:47-07,2007-09-20 13:32:47-07
35817,2007-09-21 11:03:48-07,0,35742,4663,,2007-09-21 11:03:48-07,2007-09-21 11:03:48-07
31727,2006-01-24 20:00:17-08,0,13772,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31728,2006-03-14 13:59:16-08,0,13772,25377,,2006-03-14 13:59:16-08,2006-03-14 13:59:16-08
13855,2002-04-12 17:15:20-07,0,13772,31730,,2002-04-12 17:15:20-07,2002-04-12 17:15:20-07
7570,2001-08-08 12:36:59-07,0,7553,21758,,2001-08-08 12:36:59-07,2001-08-08 12:36:59-07
31967,2006-05-09 18:17:14-07,0,29066,31930,,2006-05-09 18:17:14-07,2006-05-09 18:17:14-07
25804,2003-11-18 01:46:32.046379-08,180,25768,21758,,2003-11-18 01:46:32.046379-08,2003-11-18 01:46:32.046379-08
25811,2003-11-18 01:46:32.046379-08,0,25768,4470,,2003-11-18 01:46:32.046379-08,2003-11-18 01:46:32.046379-08
31968,2006-05-09 18:17:15-07,0,29066,31929,,2006-05-09 18:17:15-07,2006-05-09 18:17:15-07
31969,2006-05-09 18:17:27-07,0,29447,31930,,2006-05-09 18:17:27-07,2006-05-09 18:17:27-07
21864,2003-05-20 01:23:58-07,180,3910,21758,,2003-05-20 01:23:58-07,2003-05-20 01:23:58-07
31732,2006-01-24 20:00:17-08,0,3910,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31733,2006-01-24 20:00:17-08,0,9457,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31734,2006-01-24 20:00:17-08,0,9384,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31970,2006-05-09 18:17:28-07,0,29447,31929,,2006-05-09 18:17:28-07,2006-05-09 18:17:28-07
31736,2006-01-24 20:00:17-08,0,9796,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31971,2006-05-09 18:17:34-07,0,29411,31930,,2006-05-09 18:17:34-07,2006-05-09 18:17:34-07
31972,2006-05-09 18:17:35-07,0,29411,31929,,2006-05-09 18:17:35-07,2006-05-09 18:17:35-07
31973,2006-05-09 18:17:42-07,0,29520,31930,,2006-05-09 18:17:42-07,2006-05-09 18:17:42-07
31737,2006-01-24 20:00:17-08,0,2304,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
21805,2003-05-20 01:03:49-07,180,2304,21758,,2003-05-20 01:03:49-07,2003-05-20 01:03:49-07
21893,2003-05-20 01:29:27-07,180,9796,21758,,2003-05-20 01:29:27-07,2003-05-20 01:29:27-07
31974,2006-05-09 18:17:43-07,0,29520,31929,,2006-05-09 18:17:43-07,2006-05-09 18:17:43-07
31975,2006-05-09 18:18:27-07,0,29075,31930,,2006-05-09 18:18:27-07,2006-05-09 18:18:27-07
21799,2003-05-20 01:02:57-07,180,2483,21758,,2003-05-20 01:02:57-07,2003-05-20 01:02:57-07
21779,2003-05-19 21:22:51-07,180,12821,21758,,2003-05-19 21:22:51-07,2003-05-19 21:22:51-07
31738,2006-01-24 20:00:17-08,0,12821,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31740,2006-01-24 20:00:17-08,0,12821,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
12874,2002-03-07 01:32:37-08,0,12821,4470,,2002-03-07 01:32:37-08,2002-03-07 01:32:37-08
21793,2003-05-20 01:01:47-07,180,15,21758,,2003-05-20 01:01:47-07,2003-05-20 01:01:47-07
21853,2003-05-20 01:21:58-07,180,2925,21758,,2003-05-20 01:21:58-07,2003-05-20 01:21:58-07
31741,2006-01-24 20:00:17-08,0,2925,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
28848,2005-01-09 17:58:36.053951-08,180,28831,21758,,2005-01-09 17:58:36.053951-08,2005-01-09 17:58:36.053951-08
28852,2005-01-09 17:58:36.053951-08,0,28831,4470,,2005-01-09 17:58:36.053951-08,2005-01-09 17:58:36.053951-08
28847,2005-01-09 17:58:36.053951-08,0,28831,1075,,2005-01-09 17:58:36.053951-08,2005-01-09 17:58:36.053951-08
21841,2003-05-20 01:20:13-07,180,3432,21758,,2003-05-20 01:20:13-07,2003-05-20 01:20:13-07
22466,2003-06-23 01:16:01-07,180,22410,21758,,2003-06-23 01:16:01-07,2003-06-23 01:16:01-07
22487,2003-06-23 01:16:01-07,0,22410,4470,,2003-06-23 01:16:01-07,2003-06-23 01:16:01-07
31976,2006-05-09 18:18:28-07,0,29075,31929,,2006-05-09 18:18:28-07,2006-05-09 18:18:28-07
39116,2008-07-23 11:44:13.086729-07,0,2625,45044,,2008-07-23 11:44:13.086729-07,2008-07-23 11:44:13.086729-07
39117,2008-07-23 11:44:20.520931-07,0,2625,45045,,2008-07-23 11:44:20.520931-07,2008-07-23 11:44:20.520931-07
31639,2001-01-01 00:00:00-08,0,15228,31638,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
26552,2001-01-01 00:00:00-08,0,23462,35408,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
31681,2001-01-01 00:00:00-08,0,2366,23813,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
31682,2001-01-01 00:00:00-08,0,2366,27692,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
31684,2001-01-01 00:00:00-08,0,31683,31661,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
14120,2001-01-01 00:00:00-08,180,13772,21758,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
21763,2001-01-01 00:00:00-08,180,12985,21758,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4551,2001-01-01 00:00:00-08,0,3663,4470,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
16601,2001-01-01 00:00:00-08,180,3663,21758,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
14125,2001-01-01 00:00:00-08,350,3663,31730,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4555,2001-01-01 00:00:00-08,0,3910,4470,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4535,2001-01-01 00:00:00-08,0,2304,4470,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
16606,2001-01-01 00:00:00-08,0,9796,4470,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
26648,2004-03-17 09:43:34.143465-08,0,26583,47650,,2004-03-17 09:43:34.143465-08,2004-03-17 09:43:34.143465-08
21838,2003-05-20 01:19:54-07,180,3503,21758,,2003-05-20 01:19:54-07,2003-05-20 01:19:54-07
31742,2006-01-24 20:00:17-08,0,3503,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
21847,2003-05-20 01:21:02-07,180,2996,21758,,2003-05-20 01:21:02-07,2003-05-20 01:21:02-07
31743,2006-01-24 20:00:17-08,0,2996,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
21844,2003-05-20 01:20:39-07,180,1734,21758,,2003-05-20 01:20:39-07,2003-05-20 01:20:39-07
31744,2006-01-24 20:00:17-08,0,1734,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
21872,2003-05-20 01:25:21-07,180,8940,21758,,2003-05-20 01:25:21-07,2003-05-20 01:25:21-07
31745,2006-01-24 20:00:17-08,0,8940,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
8988,2001-09-01 16:34:31-07,0,8940,4470,,2001-09-01 16:34:31-07,2001-09-01 16:34:31-07
29664,2005-02-03 09:47:50.579261-08,180,29595,21758,,2005-02-03 09:47:50.579261-08,2005-02-03 09:47:50.579261-08
29675,2005-02-03 09:47:50.579261-08,0,29595,4470,,2005-02-03 09:47:50.579261-08,2005-02-03 09:47:50.579261-08
31747,2006-01-24 20:00:17-08,0,29595,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
29785,2005-02-03 09:48:38.06857-08,0,29705,4470,,2005-02-03 09:48:38.06857-08,2005-02-03 09:48:38.06857-08
29781,2005-02-03 09:48:38.06857-08,0,29705,1075,,2005-02-03 09:48:38.06857-08,2005-02-03 09:48:38.06857-08
29774,2005-02-03 09:48:38.06857-08,180,29705,21758,,2005-02-03 09:48:38.06857-08,2005-02-03 09:48:38.06857-08
26664,2004-03-17 09:43:34.143465-08,0,26587,1075,,2004-03-17 09:43:34.143465-08,2004-03-17 09:43:34.143465-08
26654,2004-03-17 09:43:34.143465-08,180,26587,21758,,2004-03-17 09:43:34.143465-08,2004-03-17 09:43:34.143465-08
31748,2006-01-24 20:00:17-08,0,26587,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
30453,2005-02-08 10:34:55.783041-08,180,30397,21758,,2005-02-08 10:34:55.783041-08,2005-02-08 10:34:55.783041-08
30442,2005-02-08 10:34:55.783041-08,0,30397,1075,,2005-02-08 10:34:55.783041-08,2005-02-08 10:34:55.783041-08
30446,2005-02-08 10:34:55.783041-08,0,30397,4470,,2005-02-08 10:34:55.783041-08,2005-02-08 10:34:55.783041-08
30296,2005-02-07 20:32:11.611586-08,0,30267,4470,,2005-02-07 20:32:11.611586-08,2005-02-07 20:32:11.611586-08
30294,2005-02-07 20:32:11.611586-08,0,30267,25377,,2005-02-07 20:32:11.611586-08,2005-02-07 20:32:11.611586-08
30289,2005-02-07 20:32:11.611586-08,180,30267,21758,,2005-02-07 20:32:11.611586-08,2005-02-07 20:32:11.611586-08
31749,2006-01-24 20:00:17-08,0,30267,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31750,2006-01-24 20:00:17-08,0,30267,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31977,2006-05-09 18:18:40-07,0,29330,31930,,2006-05-09 18:18:40-07,2006-05-09 18:18:40-07
21878,2003-05-20 01:26:21-07,180,15217,21758,,2003-05-20 01:26:21-07,2003-05-20 01:26:21-07
15258,2002-07-22 10:57:54-07,0,15217,4470,,2002-07-22 10:57:54-07,2002-07-22 10:57:54-07
15259,2002-07-22 10:57:54-07,0,15217,25377,,2002-07-22 10:57:54-07,2002-07-22 10:57:54-07
31751,2006-01-24 20:00:17-08,0,15217,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31752,2006-01-24 20:00:17-08,0,15217,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
23065,2003-07-02 15:12:16-07,180,23018,21758,,2003-07-02 15:12:16-07,2003-07-02 15:12:16-07
23075,2003-07-02 15:12:16-07,0,23018,1075,,2003-07-02 15:12:16-07,2003-07-02 15:12:16-07
23071,2003-07-02 15:12:16-07,0,23018,4470,,2003-07-02 15:12:16-07,2003-07-02 15:12:16-07
31753,2006-01-24 20:00:17-08,0,23018,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
21790,2003-05-20 01:01:03-07,180,7,21758,,2003-05-20 01:01:03-07,2003-05-20 01:01:03-07
31754,2006-01-24 20:00:17-08,0,7,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
27022,2004-04-01 16:21:50.479933-08,0,26961,4470,,2004-04-01 16:21:50.479933-08,2004-04-01 16:21:50.479933-08
31755,2006-01-24 20:00:17-08,0,26961,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31756,2006-01-24 20:00:17-08,0,26961,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
27017,2004-04-01 16:21:50.479933-08,180,26961,21758,,2004-04-01 16:21:50.479933-08,2004-04-01 16:21:50.479933-08
22291,2003-06-23 01:10:42-07,0,22255,8261,,2003-06-23 01:10:42-07,2003-06-23 01:10:42-07
22284,2003-06-23 01:10:42-07,0,22255,4470,,2003-06-23 01:10:42-07,2003-06-23 01:10:42-07
22279,2003-06-23 01:10:42-07,180,22255,21758,,2003-06-23 01:10:42-07,2003-06-23 01:10:42-07
23974,2003-08-17 16:40:36-07,0,23463,25377,,2003-08-17 16:40:36-07,2003-08-17 16:40:36-07
23975,2003-08-17 16:41:02-07,0,22611,25377,,2003-08-17 16:41:02-07,2003-08-17 16:41:02-07
31758,2006-01-24 20:00:17-08,180,22611,21758,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31392,2005-04-22 13:18:59.746258-07,180,31335,21758,,2005-04-22 13:18:59.746258-07,2005-04-22 13:18:59.746258-07
31386,2005-04-22 13:18:59.746258-07,350,31335,31730,,2005-04-22 13:18:59.746258-07,2005-04-22 13:18:59.746258-07
31385,2005-04-22 13:18:59.746258-07,0,31335,4470,,2005-04-22 13:18:59.746258-07,2005-04-22 13:18:59.746258-07
31759,2006-03-14 14:55:02-08,0,31335,23919,,2006-03-14 14:55:02-08,2006-03-14 14:55:02-08
31761,2006-03-14 14:55:25-08,0,31335,23966,,2006-03-14 14:55:25-08,2006-03-14 14:55:25-08
31762,2006-03-14 14:55:32-08,0,31335,28505,,2006-03-14 14:55:32-08,2006-03-14 14:55:32-08
31763,2006-01-24 20:00:17-08,0,26703,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31764,2006-01-24 20:00:17-08,0,26703,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
28640,2004-10-26 21:24:33.001117-07,0,28581,4470,,2004-10-26 21:24:33.001117-07,2004-10-26 21:24:33.001117-07
28628,2004-10-26 21:24:33.001117-07,180,28581,21758,,2004-10-26 21:24:33.001117-07,2004-10-26 21:24:33.001117-07
28639,2004-10-26 21:24:33.001117-07,0,28581,1075,,2004-10-26 21:24:33.001117-07,2004-10-26 21:24:33.001117-07
31765,2006-01-24 20:00:17-08,0,28581,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
14654,2002-06-13 00:15:11-07,0,14559,4470,,2002-06-13 00:15:11-07,2002-06-13 00:15:11-07
21911,2003-05-20 01:32:28-07,180,14559,21758,,2003-05-20 01:32:28-07,2003-05-20 01:32:28-07
14642,2002-06-13 00:15:11-07,0,14559,1075,,2002-06-13 00:15:11-07,2002-06-13 00:15:11-07
31766,2006-01-24 20:00:17-08,0,14559,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
21905,2003-05-20 01:31:29-07,180,14833,21758,,2003-05-20 01:31:29-07,2003-05-20 01:31:29-07
14902,2002-07-11 23:42:17-07,0,14833,1075,,2002-07-11 23:42:17-07,2002-07-11 23:42:17-07
14903,2002-07-11 23:42:17-07,0,14833,4470,,2002-07-11 23:42:17-07,2002-07-11 23:42:17-07
31767,2006-01-24 20:00:17-08,0,14833,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
23825,2003-08-09 00:25:39-07,180,10936,21758,,2003-08-09 00:25:39-07,2003-08-09 00:25:39-07
11022,2001-10-15 19:29:14-07,0,10936,1075,,2001-10-15 19:29:14-07,2001-10-15 19:29:14-07
31768,2006-01-24 20:00:17-08,0,10936,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
27141,2004-04-22 17:02:32.187652-07,0,27109,4470,,2004-04-22 17:02:32.187652-07,2004-04-22 17:02:32.187652-07
31769,2006-01-24 20:00:17-08,0,27109,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31770,2006-01-24 20:00:17-08,0,27109,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31771,2006-03-14 15:01:01-08,180,27109,21758,,2006-03-14 15:01:01-08,2006-03-14 15:01:01-08
21774,2003-05-19 21:19:54-07,180,17867,21758,,2003-05-19 21:19:54-07,2003-05-19 21:19:54-07
17916,2003-02-28 11:47:10-08,0,17867,4470,,2003-02-28 11:47:10-08,2003-02-28 11:47:10-08
31772,2006-01-24 20:00:17-08,0,17867,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
28132,2004-07-19 23:53:07.343283-07,0,28107,4469,,2004-07-19 23:53:07.343283-07,2004-07-19 23:53:07.343283-07
17622,2003-01-23 12:26:01-08,0,17575,4470,,2003-01-23 12:26:01-08,2003-01-23 12:26:01-08
21949,2003-05-20 01:42:21-07,180,17575,21758,,2003-05-20 01:42:21-07,2003-05-20 01:42:21-07
38412,2006-01-24 20:00:17-08,0,13509,38352,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
21922,2003-05-20 01:37:37-07,180,13509,21758,,2003-05-20 01:37:37-07,2003-05-20 01:37:37-07
13601,2002-04-03 12:59:55-08,0,13509,4470,,2002-04-03 12:59:55-08,2002-04-03 12:59:55-08
31773,2006-01-24 20:00:17-08,0,13509,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31775,2006-01-24 20:00:17-08,0,13509,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
23826,2003-08-09 00:26:10-07,180,2628,21758,,2003-08-09 00:26:10-07,2003-08-09 00:26:10-07
21917,2003-05-20 01:33:17-07,180,20859,21758,,2003-05-20 01:33:17-07,2003-05-20 01:33:17-07
31776,2006-01-24 20:00:17-08,0,20859,1075,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
31777,2006-01-24 20:00:17-08,0,20859,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
23881,2003-08-09 00:20:59-07,0,23838,4470,,2003-08-09 00:20:59-07,2003-08-09 00:20:59-07
23863,2003-08-09 00:20:59-07,180,23838,21758,,2003-08-09 00:20:59-07,2003-08-09 00:20:59-07
23874,2003-08-09 00:20:59-07,0,23838,1075,,2003-08-09 00:20:59-07,2003-08-09 00:20:59-07
31778,2006-01-24 20:00:17-08,0,23838,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
24594,2003-09-06 08:28:44.671376-07,0,24520,4470,,2003-09-06 08:28:44.671376-07,2003-09-06 08:28:44.671376-07
24576,2003-09-06 08:28:44.671376-07,0,24520,1075,,2003-09-06 08:28:44.671376-07,2003-09-06 08:28:44.671376-07
24579,2003-09-06 08:28:44.671376-07,180,24520,21758,,2003-09-06 08:28:44.671376-07,2003-09-06 08:28:44.671376-07
31779,2006-01-24 20:00:17-08,0,24520,31725,,2006-01-24 20:00:17-08,2006-01-24 20:00:17-08
27379,2001-01-01 00:00:00-08,0,3503,27340,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4462,2001-01-01 00:00:00-08,350,3503,31730,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4507,2001-01-01 00:00:00-08,0,2996,4470,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
14142,2001-01-01 00:00:00-08,0,2996,1075,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4449,2001-01-01 00:00:00-08,0,1734,1075,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
14145,2001-01-01 00:00:00-08,0,8940,1075,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4483,2001-01-01 00:00:00-08,0,7,4470,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4451,2001-01-01 00:00:00-08,0,7,1075,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
23927,2001-01-01 00:00:00-08,350,22611,31730,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
23547,2001-01-01 00:00:00-08,0,22726,4469,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
23929,2001-01-01 00:00:00-08,350,22726,31730,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
14150,2001-01-01 00:00:00-08,0,2628,1075,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4495,2001-01-01 00:00:00-08,0,2628,4470,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
4454,2001-01-01 00:00:00-08,0,2628,31725,,2001-01-01 00:00:00-08,2001-01-01 00:00:00-08
21850,2003-05-20 01:21:35-07,180,14370,21758,,2003-05-20 01:21:35-07,2003-05-20 01:21:35-07
14429,2002-05-30 23:38:23-07,0,14370,4470,,2002-05-30 23:38:23-07,2002-05-30 23:38:23-07
14420,2002-05-30 23:38:23-07,0,14370,1075,,2002-05-30 23:38:23-07,2002-05-30 23:38:23-07
21820,2003-05-20 01:17:39-07,180,3583,21758,,2003-05-20 01:17:39-07,2003-05-20 01:17:39-07
31978,2006-05-09 18:18:41-07,0,29330,31929,,2006-05-09 18:18:41-07,2006-05-09 18:18:41-07
31979,2006-05-09 18:18:52-07,0,29167,31930,,2006-05-09 18:18:52-07,2006-05-09 18:18:52-07
31980,2006-05-09 18:18:52-07,0,29167,31929,,2006-05-09 18:18:52-07,2006-05-09 18:18:52-07
31981,2006-05-09 18:19:06-07,0,29149,31930,,2006-05-09 18:19:06-07,2006-05-09 18:19:06-07
31982,2006-05-09 18:19:07-07,0,29149,31929,,2006-05-09 18:19:07-07,2006-05-09 18:19:07-07
31983,2006-05-09 18:19:23-07,0,29176,31930,,2006-05-09 18:19:23-07,2006-05-09 18:19:23-07
31984,2006-05-09 18:19:24-07,0,29176,31929,,2006-05-09 18:19:24-07,2006-05-09 18:19:24-07
